file_name,english,banjara,notes
nankya_vettho_janna_sevalal_sirsigad_eerma_eek_khalyar_kann_hubhotho.wav,"Young Sevalal was by a stream near Sirsigad.","nankya vettho janna sevalal","sirsigad eerma, eek khalyar kann hubhotho,nankya-child/when small/kid, vettho-was, janna-then, sevalal-sevalal, sirsigad eerma- in sirsigad, eek-one, khalyaa- stream, kann-near, hubhotho-stood/was standing."
ee_taarik_peenar_kittabevur_mai_lakmeelech.wav,"This date is historically verified.","ee taarik peenar kittabevur mai lakmeelech","ee-this, taarik-date, peenar-old/ancient, kittabevur-of books, mai-in, lakmeelech-written"
apan_rana_prathap_eer_laar_jungleuuma_chalege.wav,"We followed Rana Pratap into the forests.","apan rana prathap eer laar jungleuuma chalege","hum-we, apan-we, rana prathap eer-rana prathap's, laar-after/behind, jungleuuma-in forests, chalege-went"
panan_janmo_jakon_jaageer_par_aaj_bhi_mot_aadmivurma_behas_vache.wav,"But his exact birthplace remains a matter of scholarly debate.","panan janmo jakon jaageer par aaj bhi mot aadmivurma behas vache","panan-bue, janmo-born, jakon-so/that is/i.e, jaageer-of land, par-on, aaj-today, bhi-also, mot aadmivurma-elderly men/ old men/ respectable men/ scholarly men, behas-debate, vache,happen"
seeti_aang_rathod_kajakon_chittorgarh_eethi_aamech.wav,"Specifically","the Rathod clan of Chittorgarh.","seeti aang rathod kajakon chittorgarh eethi aamech,eer-of chittorgarh, seeti-all, aang-before, rathod-rathod, kajakon-to be ssaid so, meant to be, chittorgarh-chittorgarh, eethi-from, aamech-came"
lighten_chalu_kar.wav,"Turn on the light.","lighten chalu kar","lighten-to light, chalu-turn on, kar-do"
ee_dukan_khulla_che_ge.wav,"Is this shop open?","ee dukan khulla che ge?","ee-this, dukan-shop, khulla-open, che ge - is"
khaayen_suddo_raandh.wav,"Cook the food properly.","khaayen suddo raandh","khaayen-to eat, suddo-properly/rightly, raandh-cook"
panan_vuu_apner_mankavur_vasu_kai_kamayo_kajakoneez_motto_vaath.wav,"But WHAT he achieved for our people.","panan vuu apner mankavur vasu kai kamayo kajakoneez motto vaath.","panan-but, vuu-he, apner-our, mankavur-people, vasu-for, kai,what, kamayo-earned/gained/achieved, kajakoneez-whats said, motto vaath-big thing"
hazaaruusoo_mankya_daadi_marrethe.wav,"Hundreds dying daily.","hazaaruusoo mankya daadi marrethe","hazaaruusoo-thousand's and hundred's of, mankya-people, daadi-daily, marrethe-were dying"
ek_eeenaro_kahaani_sevabhaya.wav,"The traditional epic Sevabhaya.","ek eeenaro kahaani ""sevabhaya""","ek-one, peenaro-traditional/old/ancient, kahaani-story/epic, sevabhaya-sevabhaya"
chachaarun_pyaar_karo.wav,"Love children.","chachaarun pyaar karo","chachaarun-children, pyaar-love, karo-do"
sant_sevalal_maharaj_huyo_janna_satre_sao_thees_an_navv_varase_lugni_apner_samaj_katriko_veela_bhaavetivuthi_dabge_the.wav,"By 1739","when Sant Sevalal Maharaj was born","our community faced systematic oppression.,sant Sevalal Maharaj huyo janna, satre sao thees an navv varase lugni, apner samaj katriko veela bhaavetivuthi dabge the,kanna-when, aapner-our, samaj-community, sant Sevalal Maharaj-sant Sevalal Maharaj, huyo janna-when born, , satre sao thees an navv - 1739, varase lugni - by that year, apner samaj-our community, katriko-soo many, veela bhaavetivuthi-problems, dabge the-opressed"
panan_vor_kan_kaai_vetto_koni.wav,"But he possessed nothing.","panan vor kan kaai vetto koni.","panan-but, vor-him, kan-near, kaai-what ever, vetto-present/possess, koni-not"
hannu_vee_jakon_apner_itihaaser_mai_chapgiche.wav,"This event is recorded in the traditional epic Sevabhaya.","hannu vee jakon apner itihaaser mai chapgiche","hannu-like that, vee jakon - happened, apner-our, itihaaser-of history, mai-in, chapgiche-recorded/stampped/frozen"
kapda_dho.wav,"Wash the clothes.","kapda dho","kapda-clothes, dho-wash"
chittorgarh_eer_kila.wav,"Chittorgarh fort.","Chittorgarh eer kila.","Chittorgarh eer - Chittorgarh's, kila-fort"
itihaaseer_hisabheti_dooi_vathe_sahiz_che.wav,"Traditional Lambadi bards and oral histories support this location.","hannu keen","peenavur apnevur kahanivuthi maalam padi,hannu keen- like that, peenavur-of old/ancient, apnevur-ours, kahanivuthi-with stories, maalam padi - got to know,hannu_keen_peenavur_apnevur_kahanivuthi_maalam_padi.wav,2026-02-11T10:23:28.124Z111,Both claims have historical validity.,itihaaseer hisabheti dooi vathe sahiz che,itihaaseer-of history, hisabheti-according to, dooi-both, vathe-words/lines, sahiz che- are correct."
banjara_lambadi_gor_kajon_aapen_shee_rajput_cha.wav,"We","the Banjaras—also called Lambadis and Gor—belonged to Rajput clans.","banjara, lambadi, gor kajon aapen shee rajput cha,hum-we, balayo-called, anne-and, een-to, banjara-banjara, lambadi-banjara, gor-banjara, kajon-saidso/meant, aapen-us, shee-all, rajput cha-are rajputs"
von_bala.wav,"Call him.","Von bala.","Von-him, bala-call"
ee_saadharan_chora_koni_ken.wav,"This was not an ordinary child.","ee saadharan chora koni ken.","ee-his/this, saadharan-simple/odinary, chora-boy, koni ken - not so."
voon_votthe_jagadamba_devi_che_ju_anubhav_vi.wav,"He felt the presence of Goddess Jagadamba.","Voon votthe Jagadamba devi che ju anubhav vi","Voon-him, votthe-there, Jagadamba devi- Jagadamba godess, che ju-presence, anubhav vi-felt so"
vuz_aapnen_izzat_darayo.wav,"We know he gave us dignity.","Vuz aapnen izzat darayo","Vuz-he/he only, aapnen-us, izzat-dignity/respect, darayo-gave/bought"
garib_een_maddat_karo.wav,"Help the poor.","garib een maddat karo","garib-poor, een-to, maddat-help, karo-do"
karnataka_ma_jakon_shimoga_jilla_surgondankoppaar_mai_janmoch_keen_kache.wav,"Karnataka claims Surgondankoppa in Shimoga district.","karnataka ma jakon shimoga jilla","surgondankoppaar mai janmoch keen kache,karnataka-karnataka, ma-in, jakon-that/tha is/i.e, shimoga-shimoga, jilla-district, surgondankoppaar-of surgondankoppa, mai-in, janmoche-born, keen kache- said so."
ekki_aadunik_hatiyar_vetti_koni.wav,"No modern equipment.","ekki aadunik hatiyar vetti koni","math-no, ekki-even one, aadunik-modern/latest, hatiyar-tools,weapon,equipment, vetti- koni- was not there."
anne_eez_apner_sant_sevalal_maharaj_eer_kahani.wav,"This is the story of Sant Sevalal Maharaj.","anne eez apner sant sevalal maharaj eer kahani","anne-and, eez-this, apner-our, sant sevalal maharaj-sant sevalal maharaj, eer-his, kahani-story"
ekki_davkaan_vette_koni.wav,"No hospital.","Ekki davkaan vette koni","math-no, Ekki-even one, davkaan-hospitals, vette-were, koni-not there/not"
ee_aper_garv_che.wav,"This is our pride.","ee aper garv che","ee-this, apeer-our, garv-pride, che-is"
apan_baladure_bandi_bhaandleen_katraiko_pahad_gatla_an_nadhivun_paar_karmelecha.wav,"We crossed mountains and rivers with our bullock caravans.","apan baladure bandi bhaandleen katraiko pahad gatla an nadhivun paar karmelecha","hum-we, anne-and, aapner-our, apan-we, baladure-bull's, bandi-bullock cart/cart, bhaandleen-tying/tied, katraiko-soo many, pahad-mountains, gatla-hills, an-and, nadhivun-rivers, paar-cross, karmelecha-did/done."
tam_se_vor_dholo_jhanda_vader_har_tanderma_deetez_viyo.wav,"You have seen his white flag flying in every thanda.","tam se vor dholo jhanda vader har tanderma deetez viyo","tam-tou, se-all, vor-his, dholo-white, jhanda-flag, vader-flying, har-every, tanderma-inside village, deetez-seen, viyo-may/might"
apener_yaadi_bheenevun_kor_kyar_katraiko_vela_paade.wav,"Our women faced violence from settled communities.","apener yaadi bheenevun","kor kyar katraiko vela paade,aapner-our, eeti-from, apener-our, yaadi vun-mothers, bheene vun-sisters, kor kyar - Kor (other than Gor)/other settled communities, katraiko-soo much, vela-problems, paade-gave"
voonaz_devi_mariamma_yaadi_ken_bhi_kach.wav,"Also known as Goddess Mariamma Yaadi.","voonaz Devi mariamma yaadi ken bhi kach","voonaz-her, Devi-godess, mariamma-mariamma, yaadi-mother, ken-meant, bhi-also, kach-said"
aper_baap_dada_vur_matrubhumi.wav,"This is our ancestral homeland.","aper baap dada vur matrubhumi","aper-our, baap dada vur- fathers' grandfather's, matrubhumi-homeland"
mann_channik_paani_dechi_ge.wav,"Can you give me some water?","mann channik paani dechi ge?","mann-me, channik-some, paani-water, dechi ge - can you give"
rana_pratap_eez_jammi_par_aazadier_vasu_ladai_karmeloch.wav,"The land where Rana Pratap fought for freedom.","Rana Pratap eez jammi par aazadier vasu ladai karmeloch","katth-where, Rana Pratap-Rana Pratap, eez-this only, jammi par- on land, aazadier-of freedom, vasu-for, ladai-fight karmeloch-have done"
mann_taras_laagrich.wav,"I am thirsty.","mann taras laagrich","mann-i, taras-thirsty, laagrich-feeling."
